title,link,authors,publication,description,Year,language,flag,what to do,,
Image analysis of ocular fundus for retinopathy characterization,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:l7t_Zn2s7bgC,D Mayumi Ushizima,,"Automated analysis of ocular fundus images is a common procedure in countries as England, including both nonemergency examination and retinal screening of patients with diabetes mellitus. This involves digital image capture and transmission of the images to a digital reading center for evaluation and treatment referral. In collaboration with the Optometry Department, University of California, Berkeley, we have tested computer vision algorithms to segment vessels and lesions in ground-truth data (DRIVE database) and hundreds of images of non-macular centric and nonuniform illumination views of the eye fundus from EyePACS program. Methods under investigation involve mathematical morphology (Figure 1) for image enhancement and pattern matching. Recently, we have focused in more efficient techniques to model the ocular fundus vasculature (Figure 2), using deformable contours. Preliminary results show accurate segmentation of vessels and high level of true-positive microaneurysms.",,en,,,,
Iterative self-dual reconstruction on radar image recovery,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:4DMP91E08xMC,"CIO Martins, DM Ushizima, FNS Medeiros, FN Bezerra, RCP Marques, ...","2009 Workshop on Applications of Computer Vision (WACV), 1-6, 2009","Imaging systems as ultrasound, sonar, laser and synthetic aperture radar (SAR) are subjected to speckle noise during image acquisition. Before analyzing these images, it is often necessary to remove the speckle noise using filters. We combine properties of two mathematical morphology filters with speckle statistics to propose a signal-dependent noise filter to multiplicative noise. We describe a multiscale scheme that preserves sharp edges while it smooths homogeneous areas, by combining local statistics with two mathematical morphology filters: the alternating sequential and the self-dual reconstruction algorithms. The experimental results show that the proposed approach is less sensitive to varying window sizes when applied to simulated and real SAR images in comparison with standard filters.",2009,en,,,,
Scale Space Segmentation of Color Images Using IFT-Watersheds and Multi-Resolution Region Merging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:8AbLer7MMksC,"MC d’Ornellas, DM Ushizimab",,"Color is known to be a strong cue in attracting an observer’s attention. Actually, the motivation for using color for segmentation comes from the fact that it provides region information and that when specified appropriately, it can be relatively insensitive to variation in illumination conditions and appearances of objects. This paper presents a multi-resolution segmentation approach for color images using an image foresting transform (IFT)-based watersheds. The scale-space is based on graph morphology and works in color leading to a natural extension to grayscale morphological scalespaces. The IFT-watershed algorithm is an unified and efficient approach to reduce image processing problems to a minimum-cost path forest problem in a graph and is used in this paper to produce regions in each scale. The relative entropy of color regions are estimated as region dissimilarity features across the scale-space stack, and …",,en,,,,
Energy technologies meets computing and data,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:OU6Ihb5iCvQC,D Ushizima,,"Energy technologies meets computing and data analysis Page 1 Dani Ushizima Energy 
technologies meets computing and data analysis Deputy Team Leader Visualization Group 
CRD, LBL dushizima@lbl.gov / dani.lbnl@gmail.com Page 2 Thanks Dani’s Projects Page 3 
Q&A with EETD Page 4 Environmental Energy Technologies Group 1. What are the 
supercomputing resources? 2. What are the different approaches for accessing them, and how 
do they each work? 3. How do we get time on the computing resources? 4. How does one 
decide whether a task would be suitable for a supercomputer? Is the benefit more from 
computation time or the size of data storage? 5. What other computing resources are available at 
LBNL? 6. What does the visualization group do? How might this group be useful for our work? 7. 
Are there any statistics consulting resources available at LBNL? Page 5 Environmental Energy …",,en,f,,,
"Levental, Maksim 35 Li, Hanyu 16 Libera, Joseph 35 Marchant, David 23 Munk, Rasmus 23",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:KxtntwgDAa4C,"K Antypas, S Aslan, D Bard, T Bicer, B Blaiszik, E Brenne, S Byna, ...",,Presents an index of the authors whose articles are published in the conference proceedings record.,,en,,,,
Saliency-driven system models for cell analysis with deep learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:abG-DnoFyZgC,"GLB Ramalho, D Torres, AHG Tobias, MT Rezende, FNS Medeiros, ...",,"Background and objectives: Saliency refers to the visual perception quality that makes objects in a scene to stand out from others and attract attention. While computational saliency models can simulate the expert’s visual attention, there is little evidence about how these models perform when used to predict the cytopathologist’s eye fixations. Saliency models may be the key to instrumenting fast object detection on large Pap smear slides under real noisy conditions, artifacts, and cell occlusions. This paper describes how our computational schemes retrieve regions of interest (ROI) of clinical relevance using visual attention models. We also compare the performance of different computed saliency models as part of cell screening tasks, aiming to design a computer-aided diagnosis systems that supports cytopathologists.Method: We record eye fixation maps from cytopathologists at work, and compare with 13 different saliency prediction algorithms, including deep learning. We develop cell-specific convolutional neural networks (CNN) to inves-",,en,,,,
3.26 Machine Learning for Material Sciences: Computer Vision at Scientific Facilities,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:cFHS6HbyZ2cC,D Ushizima,"Visual Computing in Materials Sciences, 23, 0",Advances in imaging for the design and investigation of materials have been remarkable: the growth of X-ray brilliance and extremely quick snapshots have enabled the description of dynamic systems at the atomic scale; micro CT has focussed on capturing shape and structural properties of new compounds to measure the function and resilience of new materials. Our recent efforts in machine learning applied to image representation and structural fingerprints have streamlined sample sorting and ranking including the identification of special material configurations from million size datasets.,0,en,,,,
E-learning in Medical Diagnosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:Wp0gIr-vW9MC,"DM Ushizima, MC Rosatelli, G de Sistemas Inteligentes",,"The massive amount of data, required to learn how to diagnose, can be organized and turned into information to physicians using computers and Internet. In addition to atlases, the collaboration among professors, researchers, and students are decisive issues to consolidate the diagnostic knowledge. In order to tackle this problem, we propose a collaborative learning environment to support group activity, in the context of e-learning in the medical domain. The pedagogical approach of this environment is learning from case studies. The first step towards e-learning applied to diagnosis is to organize a blood image data base and their metadata available through a digital atlas (e-atlas). To accomplish this, we intend to:(1) collect a number of blood cell images organizing them into an e-atlas and (2) turn numerical measurements (real numbers) into medical reports, with suitable medical jargon.",,en,,,,
SIBGRAPI 2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:4TOpqqG69KYC,"AP Neto, A Chalmers, A Frery, A Bicho, AQ Vargas, AL Bordignon, ...",,"list-reviewer IEEE.org Help Cart Jobs Board Create Account Toggle navigation IEEE Computer 
Society Digital Library Jobs Tech News Resource Center Press Room Advertising About Us IEEE 
IEEE Computer Society IEEE Computer Society Digital Library My Subscriptions Magazines 
Journals Conference Proceedings Institutional Subscriptions IEEE IEEE Computer Society More 
Jobs Tech News Resource Center Press Room Advertising About Us Cart All Advanced Search 
Conference Cover Image Download 1.Home 2.Proceedings 3.sibgra 2006 list-reviewer 2006, pp. 
xiv-xv, DOI Bookmark: 10.1109/SIBGRAPI.2006.39 Keywords Authors Abstract The conference 
offers a note of thanks and lists its reviewers. RReevviieewweerrssSSIIBBGGRRAAPPII 
22000066 Afonso Paiva Neto Alan Chalmers Alejandro Frery Alessandro Bicho 
Alex Quadros Vargas Alex Laier Bordignon Alexander Belyaev Alexander Toshev …",,en,f,,,
Quantization for Energy Efficient Convolutional Neural Networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:_kc_bZDykSQC,"JV Mascarenhas, C Yang, D Ushizima",,"A traditional Convolutional Neural Network (CNN) is parameterized by floating point weights and biases and takes floating point data as input. In many cases, the floating point representation of these parameters and input is more than necessary. The use of a more compact representation of the parameters and input allows CNNs to be deployed on energy efficient architectures that operate with a few bits and much lower memory footprint. This work focuses on data reduction and quantization schemes that can be applied to a trained CNN for classifying scientific simulation data. We show that each neuron and synapse can be encoded with only one byte to maintain accuracy above 98%.",,en,,,,
Tracking cell dynamics from time-lapse LSM imagery,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:kNdYIx-mwKoC,"D Ushizima, K Tanner, AT Lo, MJ Bissell, J Sethian",,"Tracking cell dynamics from time-lapse LSM imagery Page 1 In many organs, including the 
mammary gland, the spherical acinus forms one of the structural units required for tissue 
homeostasis, but the cell behaviors that specify acinar geometry in adult tissue are insufficiently 
understood. Using 3D culture models of human mammary epithelial cells [Bissell 01], we 
investigate both acinar morphogenesis and tumor formation using 4D live confocal fluorescence 
imaging to elucidate the mechanism of this architectural specification. We demonstrate that 
non-malignant cells maintain strong cellcell adhesion while generating actomyosin-regulated 
centripetal force, resulting in coherent angular motion (CAMo) during acinar morphogenesis. 
That this motion is instrumental to the formation of the architecture is demonstrated by the 
disorganization that results when either polarity genes or cell-cell adhesion molecules are …",,en,,,,
Quantitative Microscopy Applied to Cytology and Material Microstructure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:UebtZRa9Y70C,"DM Ushizima, H Senger, MC d’Ornellas, FNS Medeiros",,"This paper introduces the project SQOPE: Software in Quantitative OPtical and Electron microscopy, which aims to establish a collaborative group of researchers in the development of a computer framework to process and analyze microscopic images. The main requirements are the ability to deal with images from different microscopes, customization facilities and two execution modes: sequential and parallel. The parallel version will be available through the Internet, by means of a service portal. This tool will permit computer-aided identification of pathologies in medical images, even so we intend to extend it to other sectors of technical-scientific research. The commercial potential of this software attracted the company Associated Scientists to intervene in the project.",,en,,,,
CO2 Sequestion and Storage: From Raw Micro-CT to Quality Measurements,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:roLk4NBRz8UC,"W Bethel, K Bouchard, D Camp, H Krishnan, B Loring, SY Oh, O Rübel, ...",,"Figure 1: Micro-CT of porous media:(A) cross section of glass bead column, inoculated with S. pausterii that promote calcite precipitation; cross-section is input to our software Quant-CT, which outputs segmented slices as in (B); rendering of the segmentation result for the whole stack in (D) using VisIt; SEM image in (C) emphasizes the result of biomineralization, which clogs the void space, cementing the pore channels.Since 1751, nearly 337 billion tons of CO 2 were emitted into the atmosphere as the result of combustion of fossil fuels and cement production. If CO 2 is disruptive to the earth's climate, then reduction in atmospheric CO 2 is necessary to preclude an environmental catastrophe. One approach in controlling the CO 2 concentration in the atmosphere is to store it in deep subsurface rock formations using a safe and effective technology.",,en,,,,
CHARACTERIZATION OF MRI BRAIN SCANS ASSOCIATED TO ALZHEIMER’S DISEASE THROUGH TEXTURE ANALYSIS,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:YsMSGLbcyi4C,"DM Ushizima, AGC Bianchi, W Guo",,"The purpose of this project is to investigate datasets of T1-weighted MRI brain scans, aiming at discriminating normal from cognitive impaired patients, by describing the white/gray matter (WM/GM) image intensity variation in terms of textural descriptors from gray level co-occurrence matrices (GLCM). These descriptors form the feature vectors considered for later classification using non-supervised algorithms as k-means. We use MRI data sets from Open Access Series of Imaging Studies (OASIS), made available by the Washington University",,en,,,,
Front propagation using fast marching in R,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&cstart=100&pagesize=100&citation_for_view=AEm0StsAAAAJ:W7OEmFMy1HYC,D Ushizima,,"Image segmentation is one of the most important challenges in computer vision since all the other steps in pattern recognition depend on the definition of regions of interest. Among the algorithms for image segmentation, level sets and fast marching have been used frequently in problems in shape recovery. A drawback of level sets is its computational expense, particularly when considering scripting languages. We implement the Fast Marching method in R, a numerical technique for solving the Eikonal equation as a boundary value problem without iteration over the whole data. In this scheme, a front advances monotonically with a speed function that never changes sign, such that the marching method efficiently computes the arrival time at each grid point by modeling a moving interface under an inward or outward motion. We illustrate bellow the method using a single seed and multiple seeds in a constant velocity …",,en,f,,,
